곡 id,곡명,앨범명,앨범id,장르,좋아요수,발매일,가수
31571110,신청곡 (Feat. SUGA of BTS),신청곡 (Feat. SUGA of BTS),10244499,Ballad,74445,20190122,이소라
31565593,초록빛,초록빛,10243480,Ballad,49112,20190117,폴킴
31532643,넘쳐흘러,Circular,10238710,Ballad,83728,20190102,엠씨더맥스
31532438,벌써 12시,벌써 12시,10238683,Dance,79349,20190102,청하
31554317,띵 (Prod. By 기리보이),Dingo X Indigo Music,10241866,Rap / Hip-hop,54084,20190113,"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한"
31570736,Home,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,10244395,R&B / Soul,37713,20190121,세븐틴
31477685,180도,180˚,10230497,Ballad,120948,20181207,벤
31406357,신용재,신용재,10219644,Ballad,83558,20181106,하은 (라코스테남)
31492319,Love Shot,LOVE SHOT - The 5th Album Repackage,10232781,Dance,122465,20181213,EXO
31388145,너를 만나,너를 만나,10217134,Ballad,162431,20181029,폴킴
31455159,너도 그냥 날 놓아주면 돼,너도 그냥 날 놓아주면 돼,10227145,Ballad,45155,20181129,윤건
31417871,SOLO,SOLO,10221424,Rap / Hip-hop,160838,20181112,제니 (JENNIE)
31448480,아낙네,XX,10226163,Rap / Hip-hop,142869,20181126,MINO (송민호)
31570735,Good to Me,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,10244395,Dance,24277,20190121,세븐틴
31506637,MILLIONS,MILLIONS,10234872,Dance,103584,20181219,WINNER
31570740,숨이 차,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,10244395,Dance,22450,20190121,세븐틴
31570737,포옹,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,10244395,Ballad,23106,20190121,세븐틴
31399721,Tempo,DON`T MESS UP MY TEMPO - The 5th Album,10218750,Dance,168265,20181102,EXO
31570738,칠리,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,10244395,Rap / Hip-hop,21484,20190121,세븐틴
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,10149492,"Drama,Ballad",236382,20180320,폴킴
31570739,Shhh,SEVENTEEN 6TH MINI ALBUM `YOU MADE MY DAWN`,10244395,Dance,21145,20190121,세븐틴
31266290,IDOL,LOVE YOURSELF 結 `Answer`,10197480,Rap / Hip-hop,215987,20180824,방탄소년단
31189085,어쩌나,SEVENTEEN 5TH MINI ALBUM `YOU MAKE MY DAY`,10185387,Dance,74301,20180716,세븐틴
31403163,YES or YES,YES or YES,10219298,Dance,116758,20181105,TWICE (트와이스)
31373277,내 생에 아름다운,뷰티 인사이드 OST Part.4,10214874,"Drama,Ballad",92259,20181023,케이윌
31556500,해야 (Sunrise),여자친구 The 2nd Album `Time for us`,10242169,Dance,32356,20190114,여자친구 (GFRIEND)
31575356,Heu ! (Full Ver.),Heu ! (Full Ver.),10244998,Rap / Hip-hop,12976,20190123,수퍼비
8252573,아주 NICE,Love&Letter Repackage Album,2695228,Dance,90756,20160704,세븐틴
31244486,A-TEEN,A-TEEN Part.3,10194044,"Drama,Rap / Hip-hop",85224,20180813,세븐틴
